_id,EBDI,DELEGACION,REGIMEN_B,ASISTENCIA,POBLACION
ObjectId("5ea7bcfd27a6940f18705847"),117,ZONA SUR,Propia,0,0
ObjectId("5ea7bcfd27a6940f1870584a"),118,ZONA SUR,Propia,0,0
ObjectId("5ea7bd0027a6940f18705899"),151,ZONA NORTE,Propia,0,0
ObjectId("5ea7bcf927a6940f18705807"),565,TABASCO,OSC,17,1
ObjectId("5ea7bcf927a6940f1870580a"),564,SONORA,OSC,34,2
ObjectId("5ea7bcf927a6940f18705814"),529,SONORA,OSC,133,7
ObjectId("5ea7bcf927a6940f187057db"),522,BAJA CALIFORNIA,OSC,74,7
ObjectId("5ea7bcf927a6940f1870580c"),563,SONORA,OSC,204,14
ObjectId("5ea7bd0027a6940f187058b5"),579,QUERÉTARO,Contratada,336,16
ObjectId("5ea7bd0027a6940f1870589f"),311,NUEVO LEÓN,Contratada,255,19
